iter	Passed	Remaining
0	160	160066
1	163	81467
2	166	55246
3	169	42219
4	171	34171
5	173	28778
6	175	24917
7	177	22028
8	179	19739
9	180	17914
10	183	16464
11	185	15254
12	187	14233
13	189	13343
14	191	12555
15	193	11888
16	195	11284
17	197	10753
18	200	10327
19	201	9896
20	203	9497
21	205	9150
22	207	8824
23	209	8521
24	212	8302
25	214	8047
26	216	7805
27	218	7583
28	220	7376
29	222	7182
30	227	7100
31	228	6926
32	231	6770
33	233	6639
34	235	6496
35	237	6371
36	240	6252
37	243	6175
38	246	6064
39	248	5958
40	250	5849
41	251	5742
42	253	5641
43	255	5550
44	257	5463
45	259	5377
46	260	5288
47	262	5206
48	264	5124
49	265	5043
50	267	4972
51	268	4901
52	270	4838
53	272	4775
54	274	4712
55	275	4650
56	277	4588
57	278	4530
58	280	4474
59	282	4425
60	283	4369
61	286	4334
62	288	4284
63	289	4235
64	291	4187
65	292	4143
66	294	4097
67	295	4043
68	296	4002
69	298	3960
70	300	3932
71	302	3894
72	303	3855
73	305	3819
74	306	3782
75	308	3746
76	310	3720
77	311	3686
78	313	3651
79	315	3629
80	317	3597
81	318	3567
82	319	3534
83	321	3502
84	322	3468
85	324	3446
86	325	3414
87	326	3385
88	328	3358
89	330	3340
90	332	3319
91	333	3292
92	335	3267
93	336	3242
94	338	3220
95	339	3199
96	341	3179
97	342	3156
98	345	3140
99	346	3118
100	347	3096
101	348	3070
102	350	3049
103	351	3030
104	353	3011
105	354	2991
106	356	2972
107	357	2956
108	359	2941
109	361	2922
110	362	2903
111	364	2887
112	366	2876
113	369	2868
114	371	2859
115	375	2861
116	377	2850
117	379	2837
118	380	2820
119	382	2806
120	384	2794
121	386	2781
122	387	2763
123	390	2758
124	392	2750
125	394	2736
126	396	2723
127	397	2706
128	398	2692
129	400	2680
130	403	2677
131	405	2669
132	407	2658
133	409	2647
134	411	2635
135	412	2621
136	414	2609
137	415	2596
138	419	2596
139	421	2587
140	422	2576
141	424	2564
142	426	2553
143	427	2542
144	429	2531
145	430	2520
146	433	2517
147	435	2507
148	437	2498
149	439	2488
150	441	2479
151	442	2469
152	444	2459
153	446	2451
154	448	2445
155	450	2435
156	452	2427
157	453	2418
158	455	2409
159	457	2401
160	459	2393
161	462	2392
162	464	2385
163	466	2377
164	467	2367
165	469	2358
166	470	2349
167	472	2341
168	474	2331
169	476	2327
170	478	2319
171	479	2310
172	481	2302
173	483	2294
174	485	2287
175	486	2279
176	488	2271
177	490	2267
178	493	2261
179	494	2253
180	495	2242
181	496	2233
182	498	2226
183	500	2221
184	503	2216
185	505	2213
186	508	2210
187	510	2203
188	511	2196
189	513	2189
190	515	2183
191	517	2179
192	521	2178
193	523	2173
194	525	2167
195	526	2161
196	528	2154
197	530	2148
198	532	2144
199	534	2138
200	537	2134
201	538	2128
202	540	2121
203	542	2115
204	543	2109
205	546	2106
206	549	2103
207	552	2102
208	554	2099
209	556	2093
210	558	2089
211	560	2084
212	562	2079
213	565	2075
214	567	2070
215	569	2068
216	571	2063
217	575	2063
218	577	2059
219	579	2053
220	582	2053
221	584	2048
222	586	2044
223	588	2039
224	591	2036
225	593	2031
226	597	2034
227	599	2031
228	603	2030
229	605	2026
230	607	2020
231	609	2016
232	613	2018
233	615	2014
234	617	2011
235	619	2006
236	621	2002
237	623	1997
238	627	1998
239	630	1997
240	632	1993
241	635	1989
242	636	1984
243	639	1980
244	643	1983
245	646	1981
246	648	1976
247	650	1971
248	652	1967
249	654	1962
250	658	1964
251	660	1960
252	662	1956
253	664	1951
254	666	1947
255	668	1942
256	672	1944
257	675	1942
258	677	1938
259	679	1934
260	681	1929
261	683	1924
262	685	1920
263	688	1918
264	690	1915
265	693	1914
266	696	1911
267	698	1908
268	701	1905
269	703	1902
270	706	1899
271	708	1894
272	709	1890
273	711	1885
274	713	1880
275	715	1875
276	717	1872
277	718	1867
278	720	1861
279	722	1857
280	724	1852
281	726	1848
282	728	1845
283	732	1845
284	733	1841
285	735	1835
286	736	1830
287	738	1825
288	740	1821
289	741	1816
290	743	1811
291	746	1810
292	748	1806
293	750	1801
294	751	1796
295	753	1791
296	754	1785
297	756	1781
298	758	1777
299	760	1774
300	762	1771
301	764	1766
302	766	1762
303	768	1758
304	770	1755
305	772	1751
306	773	1746
307	775	1743
308	778	1740
309	781	1738
310	784	1737
311	786	1733
312	788	1729
313	793	1734
314	796	1732
315	798	1728
316	801	1726
317	804	1724
318	807	1724
319	810	1721
320	819	1734
321	826	1740
322	828	1737
323	831	1735
324	834	1732
325	837	1731
326	839	1728
327	841	1724
328	845	1724
329	848	1721
330	850	1719
331	853	1716
332	855	1713
333	857	1709
334	859	1706
335	861	1703
336	863	1699
337	868	1700
338	870	1697
339	872	1694
340	875	1691
341	877	1688
342	881	1688
343	883	1685
344	885	1681
345	887	1677
346	890	1675
347	892	1672
348	896	1671
349	898	1669
350	900	1665
351	902	1662
352	904	1658
353	906	1653
354	907	1649
355	911	1648
356	913	1645
357	914	1640
358	916	1635
359	917	1631
360	919	1627
361	921	1623
362	922	1619
363	926	1618
364	928	1614
365	929	1610
366	931	1606
367	933	1602
368	934	1598
369	936	1594
370	937	1590
371	940	1587
372	942	1583
373	943	1579
374	945	1575
375	946	1570
376	948	1566
377	949	1562
378	951	1559
379	953	1555
380	957	1555
381	959	1551
382	960	1548
383	962	1543
384	963	1539
385	965	1535
386	968	1533
387	971	1532
388	973	1529
389	975	1525
390	976	1521
391	978	1517
392	979	1513
393	982	1510
394	984	1507
395	986	1505
396	989	1502
397	991	1498
398	992	1495
399	994	1492
400	996	1488
401	998	1485
402	1002	1484
403	1004	1481
404	1006	1478
405	1009	1476
406	1011	1473
407	1013	1470
408	1015	1467
409	1017	1464
410	1019	1461
411	1021	1457
412	1023	1454
413	1025	1451
414	1027	1448
415	1030	1446
416	1032	1444
417	1035	1441
418	1037	1438
419	1039	1435
420	1041	1432
421	1045	1431
422	1047	1429
423	1050	1426
424	1052	1423
425	1055	1421
426	1057	1418
427	1060	1417
428	1062	1414
429	1065	1412
430	1067	1409
431	1069	1406
432	1072	1404
433	1076	1403
434	1080	1403
435	1082	1400
436	1084	1397
437	1086	1394
438	1090	1393
439	1093	1391
440	1095	1388
441	1098	1386
442	1100	1383
443	1102	1380
444	1107	1381
445	1110	1378
446	1112	1376
447	1114	1373
448	1116	1370
449	1118	1366
450	1122	1366
451	1125	1364
452	1128	1362
453	1130	1359
454	1132	1356
455	1136	1356
456	1138	1353
457	1140	1349
458	1143	1347
459	1145	1344
460	1147	1341
461	1148	1337
462	1152	1336
463	1154	1333
464	1156	1330
465	1158	1327
466	1159	1323
467	1161	1320
468	1164	1318
469	1168	1317
470	1170	1314
471	1172	1311
472	1174	1308
473	1176	1305
474	1178	1302
475	1182	1301
476	1184	1298
477	1186	1295
478	1188	1292
479	1190	1289
480	1192	1286
481	1194	1283
482	1197	1281
483	1199	1278
484	1201	1275
485	1203	1273
486	1206	1270
487	1208	1267
488	1210	1264
489	1212	1261
490	1213	1258
491	1215	1255
492	1217	1251
493	1218	1248
494	1220	1245
495	1223	1242
496	1225	1240
497	1227	1237
498	1229	1234
499	1230	1230
500	1232	1227
501	1233	1224
502	1235	1220
503	1237	1217
504	1239	1214
505	1240	1211
506	1242	1208
507	1243	1204
508	1245	1201
509	1247	1198
510	1249	1195
511	1250	1192
512	1252	1188
513	1254	1185
514	1255	1182
515	1257	1179
516	1258	1175
517	1260	1172
518	1262	1169
519	1263	1166
520	1265	1163
521	1266	1159
522	1270	1158
523	1271	1155
524	1273	1152
525	1274	1148
526	1276	1146
527	1278	1142
528	1280	1139
529	1282	1137
530	1284	1134
531	1286	1131
532	1288	1129
533	1290	1126
534	1292	1123
535	1294	1120
536	1297	1118
537	1299	1116
538	1302	1113
539	1304	1111
540	1306	1108
541	1308	1105
542	1310	1103
543	1316	1103
544	1318	1101
545	1320	1098
546	1322	1095
547	1324	1092
548	1327	1090
549	1330	1088
550	1332	1085
551	1334	1083
552	1336	1080
553	1338	1077
554	1340	1074
555	1343	1073
556	1345	1070
557	1347	1067
558	1349	1064
559	1351	1062
560	1354	1059
561	1356	1057
562	1359	1055
563	1362	1053
564	1364	1050
565	1366	1047
566	1368	1044
567	1371	1043
568	1373	1040
569	1375	1037
570	1377	1035
571	1379	1032
572	1381	1029
573	1383	1026
574	1386	1025
575	1389	1022
576	1391	1020
577	1393	1017
578	1395	1014
579	1398	1012
580	1400	1009
581	1403	1007
582	1405	1005
583	1407	1002
584	1410	1000
585	1413	998
586	1416	996
587	1418	994
588	1421	991
589	1423	989
590	1426	986
591	1428	984
592	1431	982
593	1433	979
594	1435	977
595	1438	975
596	1441	972
597	1444	971
598	1449	970
599	1452	968
600	1456	966
601	1458	964
602	1462	962
603	1464	960
604	1466	957
